onset,duration,description
2022-03-12 04:07:52.656,60.0,Eye Open
2022-03-12 04:08:52.656,1.0,transition
2022-03-12 04:08:53.656,60.0,Eye Closed
2022-03-12 04:09:53.656,1.0,transition
2022-03-12 04:09:54.656,5.0,A
2022-03-12 04:09:59.656,1.0,transition
2022-03-12 04:10:00.656,5.0,Black Screen
2022-03-12 04:10:05.656,1.0,transition
2022-03-12 04:10:06.656,5.0,Black Screen
2022-03-12 04:10:11.656,1.0,transition
2022-03-12 04:10:12.656,5.0,B
2022-03-12 04:10:17.656,1.0,transition
2022-03-12 04:10:18.656,5.0,Black Screen
2022-03-12 04:10:23.656,1.0,transition
2022-03-12 04:10:24.656,5.0,Black Screen
2022-03-12 04:10:29.656,1.0,transition
2022-03-12 04:10:30.656,5.0,C
2022-03-12 04:10:35.656,1.0,transition
2022-03-12 04:10:36.656,5.0,Black Screen
2022-03-12 04:10:41.656,1.0,transition
2022-03-12 04:10:42.656,5.0,Black Screen
2022-03-12 04:10:47.656,1.0,transition
2022-03-12 04:10:48.656,5.0,D
2022-03-12 04:10:53.656,1.0,transition
2022-03-12 04:10:54.656,5.0,Black Screen
2022-03-12 04:10:59.656,1.0,transition
2022-03-12 04:11:00.656,5.0,Black Screen
2022-03-12 04:11:05.656,1.0,transition
2022-03-12 04:11:06.656,5.0,E
2022-03-12 04:11:11.656,1.0,transition
2022-03-12 04:11:12.656,5.0,Black Screen
2022-03-12 04:11:17.656,1.0,transition
2022-03-12 04:11:18.656,5.0,Black Screen
2022-03-12 04:11:23.656,1.0,transition
2022-03-12 04:11:24.656,5.0,F
2022-03-12 04:11:29.656,1.0,transition
2022-03-12 04:11:30.656,5.0,Black Screen
2022-03-12 04:11:35.656,1.0,transition
2022-03-12 04:11:36.656,5.0,Black Screen
2022-03-12 04:11:41.656,1.0,transition
2022-03-12 04:11:42.656,5.0,G
2022-03-12 04:11:47.656,1.0,transition
2022-03-12 04:11:48.656,5.0,Black Screen
2022-03-12 04:11:53.656,1.0,transition
2022-03-12 04:11:54.656,5.0,Black Screen
2022-03-12 04:11:59.656,1.0,transition
2022-03-12 04:12:00.656,5.0,H
2022-03-12 04:12:05.656,1.0,transition
2022-03-12 04:12:06.656,5.0,Black Screen
2022-03-12 04:12:11.656,1.0,transition
2022-03-12 04:12:12.656,5.0,Black Screen
2022-03-12 04:12:17.656,1.0,transition
2022-03-12 04:12:18.656,5.0,I
2022-03-12 04:12:23.656,1.0,transition
2022-03-12 04:12:24.656,5.0,Black Screen
2022-03-12 04:12:29.656,1.0,transition
2022-03-12 04:12:30.656,5.0,Black Screen
2022-03-12 04:12:35.656,1.0,transition
2022-03-12 04:12:36.656,5.0,J
2022-03-12 04:12:41.656,1.0,transition
2022-03-12 04:12:42.656,5.0,Black Screen
2022-03-12 04:12:47.656,1.0,transition
2022-03-12 04:12:48.656,5.0,Black Screen
2022-03-12 04:12:53.656,1.0,transition
2022-03-12 04:12:54.656,5.0,K
2022-03-12 04:12:59.656,1.0,transition
2022-03-12 04:13:00.656,5.0,Black Screen
2022-03-12 04:13:05.656,1.0,transition
2022-03-12 04:13:06.656,5.0,Black Screen
2022-03-12 04:13:11.656,1.0,transition
2022-03-12 04:13:12.656,5.0,L
2022-03-12 04:13:17.656,1.0,transition
2022-03-12 04:13:18.656,5.0,Black Screen
2022-03-12 04:13:23.656,1.0,transition
2022-03-12 04:13:24.656,5.0,Black Screen
2022-03-12 04:13:29.656,1.0,transition
2022-03-12 04:13:30.656,5.0,M
2022-03-12 04:13:35.656,1.0,transition
2022-03-12 04:13:36.656,5.0,Black Screen
2022-03-12 04:13:41.656,1.0,transition
2022-03-12 04:13:42.656,5.0,Black Screen
2022-03-12 04:13:47.656,1.0,transition
2022-03-12 04:13:48.656,5.0,N
2022-03-12 04:13:53.656,1.0,transition
2022-03-12 04:13:54.656,5.0,Black Screen
2022-03-12 04:13:59.656,1.0,transition
2022-03-12 04:14:00.656,5.0,Black Screen
2022-03-12 04:14:05.656,1.0,transition
2022-03-12 04:14:06.656,5.0,O
2022-03-12 04:14:11.656,1.0,transition
2022-03-12 04:14:12.656,5.0,Black Screen
2022-03-12 04:14:17.656,1.0,transition
2022-03-12 04:14:18.656,5.0,Black Screen
2022-03-12 04:14:23.656,1.0,transition
2022-03-12 04:14:24.656,5.0,P
