onset,duration,description
2022-03-12 04:49:55.745,60.0,Eye Open
2022-03-12 04:50:55.745,1.0,transition
2022-03-12 04:50:56.745,60.0,Eye Closed
2022-03-12 04:51:56.745,1.0,transition
2022-03-12 04:51:57.745,5.0,Looked at Letter A
2022-03-12 04:52:02.745,1.0,transition
2022-03-12 04:52:03.745,5.0,Black Screen
2022-03-12 04:52:08.745,1.0,transition
2022-03-12 04:52:09.745,5.0,Imagined Letter A
2022-03-12 04:52:14.745,1.0,transition
2022-03-12 04:52:15.745,5.0,Looked at Letter B
2022-03-12 04:52:20.745,1.0,transition
2022-03-12 04:52:21.745,5.0,Black Screen
2022-03-12 04:52:26.745,1.0,transition
2022-03-12 04:52:27.745,5.0,Imagined Letter B
2022-03-12 04:52:32.745,1.0,transition
2022-03-12 04:52:33.745,5.0,Looked at Letter C
2022-03-12 04:52:38.745,1.0,transition
2022-03-12 04:52:39.745,5.0,Black Screen
2022-03-12 04:52:44.745,1.0,transition
2022-03-12 04:52:45.745,5.0,Imagined Letter C
2022-03-12 04:52:50.745,1.0,transition
2022-03-12 04:52:51.745,5.0,Looked at Letter D
2022-03-12 04:52:56.745,1.0,transition
2022-03-12 04:52:57.745,5.0,Black Screen
2022-03-12 04:53:02.745,1.0,transition
2022-03-12 04:53:03.745,5.0,Imagined Letter D
2022-03-12 04:53:08.745,1.0,transition
2022-03-12 04:53:09.745,5.0,Looked at Letter E
2022-03-12 04:53:14.745,1.0,transition
2022-03-12 04:53:15.745,5.0,Black Screen
2022-03-12 04:53:20.745,1.0,transition
2022-03-12 04:53:21.745,5.0,Imagined Letter E
2022-03-12 04:53:26.745,1.0,transition
2022-03-12 04:53:27.745,5.0,Looked at Letter F
2022-03-12 04:53:32.745,1.0,transition
2022-03-12 04:53:33.745,5.0,Black Screen
2022-03-12 04:53:38.745,1.0,transition
2022-03-12 04:53:39.745,5.0,Imagined Letter F
2022-03-12 04:53:44.745,1.0,transition
2022-03-12 04:53:45.745,5.0,Looked at Letter G
2022-03-12 04:53:50.745,1.0,transition
2022-03-12 04:53:51.745,5.0,Black Screen
2022-03-12 04:53:56.745,1.0,transition
2022-03-12 04:53:57.745,5.0,Imagined Letter G
2022-03-12 04:54:02.745,1.0,transition
2022-03-12 04:54:03.745,5.0,Looked at Letter H
2022-03-12 04:54:08.745,1.0,transition
2022-03-12 04:54:09.745,5.0,Black Screen
2022-03-12 04:54:14.745,1.0,transition
2022-03-12 04:54:15.745,5.0,Imagined Letter H
2022-03-12 04:54:20.745,1.0,transition
2022-03-12 04:54:21.745,5.0,Looked at Letter I
2022-03-12 04:54:26.745,1.0,transition
2022-03-12 04:54:27.745,5.0,Black Screen
2022-03-12 04:54:32.745,1.0,transition
2022-03-12 04:54:33.745,5.0,Imagined Letter I
2022-03-12 04:54:38.745,1.0,transition
2022-03-12 04:54:39.745,5.0,Looked at Letter J
2022-03-12 04:54:44.745,1.0,transition
2022-03-12 04:54:45.745,5.0,Black Screen
2022-03-12 04:54:50.745,1.0,transition
2022-03-12 04:54:51.745,5.0,Imagined Letter J
2022-03-12 04:54:56.745,1.0,transition
2022-03-12 04:54:57.745,5.0,Looked at Letter K
2022-03-12 04:55:02.745,1.0,transition
2022-03-12 04:55:03.745,5.0,Black Screen
2022-03-12 04:55:08.745,1.0,transition
2022-03-12 04:55:09.745,5.0,Imagined Letter K
2022-03-12 04:55:14.745,1.0,transition
2022-03-12 04:55:15.745,5.0,Looked at Letter L
2022-03-12 04:55:20.745,1.0,transition
2022-03-12 04:55:21.745,5.0,Black Screen
2022-03-12 04:55:26.745,1.0,transition
2022-03-12 04:55:27.745,5.0,Imagined Letter L
2022-03-12 04:55:32.745,1.0,transition
2022-03-12 04:55:33.745,5.0,Looked at Letter M
2022-03-12 04:55:38.745,1.0,transition
2022-03-12 04:55:39.745,5.0,Black Screen
2022-03-12 04:55:44.745,1.0,transition
2022-03-12 04:55:45.745,5.0,Imagined Letter M
2022-03-12 04:55:50.745,1.0,transition
2022-03-12 04:55:51.745,5.0,Looked at Letter N
2022-03-12 04:55:56.745,1.0,transition
2022-03-12 04:55:57.745,5.0,Black Screen
2022-03-12 04:56:02.745,1.0,transition
2022-03-12 04:56:03.745,5.0,Imagined Letter N
2022-03-12 04:56:08.745,1.0,transition
2022-03-12 04:56:09.745,5.0,Looked at Letter O
2022-03-12 04:56:14.745,1.0,transition
2022-03-12 04:56:15.745,5.0,Black Screen
2022-03-12 04:56:20.745,1.0,transition
2022-03-12 04:56:21.745,5.0,Imagined Letter O
2022-03-12 04:56:26.745,1.0,transition
2022-03-12 04:56:27.745,5.0,Looked at Letter P
2022-03-12 04:56:32.745,1.0,transition
2022-03-12 04:56:33.745,5.0,Black Screen
2022-03-12 04:56:38.745,1.0,transition
2022-03-12 04:56:39.745,5.0,Imagined Letter P
2022-03-12 04:56:44.745,1.0,transition
2022-03-12 04:56:45.745,5.0,Looked at Letter Q
